FID,F1,经度,纬度,WGS84经度,WGS84纬度,
377,南宁市江南区江西镇扬美村,108.071113000000000,22.844902000000001,108.060394000000000,22.841892999999999,
378,柳州市融水苗族自治县拱洞乡平卯村,109.162727000000000,25.655040000000000,109.151701000000000,25.652111000000001,苗族
379,柳州市融水苗族自治县四荣乡东田村,109.124773000000000,25.279126999999999,109.113744999999990,25.275966000000000,苗族
380,柳州市融水苗族自治县四荣乡荣地村,109.133973000000000,25.328762999999999,109.122902999999990,25.325733000000000,苗族
381,柳州市三江侗族自治县丹洲镇丹洲村,109.451199000000000,25.377703000000000,109.440122000000000,25.374120000000001,侗族
382,柳州市三江侗族自治县独峒乡高定村,109.487618000000000,25.990929000000001,109.476484000000000,25.988233999999999,侗族
383,柳州市三江侗族自治县林溪乡高友村,109.726161000000000,25.987933999999999,109.715065999999990,25.985285999999999,侗族
384,桂林市龙胜各族自治县和平乡龙脊村,110.120912000000000,25.750606999999999,110.109596000000000,25.747685000000001,壮族
385,桂林市灌阳县洞井瑶族乡洞井村,110.861206999999990,25.248035000000002,110.850009000000000,25.244951000000000,瑶族
386,桂林市灌阳县水车乡官庄村,111.192972999999990,25.643084999999999,111.181175000000000,25.640284000000001,汉族
387,桂林市灌阳县新街乡江口村,111.121945000000000,25.420565000000000,111.110247000000000,25.416940000000000,畲族
388,桂林市荔蒲县马岭镇永明村小青山屯,110.448820000000000,24.641994000000000,110.437537000000010,24.638952000000000,
389,桂林市临桂县四塘乡横山村,110.143583000000010,25.186615000000000,110.132426000000000,25.183209999999999,
390,桂林市灵川县潮田乡太平村,110.542652000000000,25.235932999999999,110.531662000000000,25.232672999999998,
391,桂林市灵川县大圩镇熊村,110.471772000000000,25.242214000000001,110.460469000000000,25.239291000000001,
392,桂林市灵川县定江镇路西村,110.310982000000000,25.340847000000000,110.299874000000000,25.337568000000001,
393,桂林市灵川县灵田乡长岗岭村,110.534035000000000,25.403912999999999,110.523069000000010,25.400566999999999,
394,桂林市灵川县灵田乡迪塘村,110.452591000000000,25.404807000000002,110.441289000000000,25.401793000000001,
395,桂林市灵川县青狮潭镇老寨村,110.209693000000000,25.370339999999999,110.198541000000010,25.367381999999999,苗族|彝族
396,桂林市灵川县青狮潭镇江头村,110.282126000000010,25.536159000000001,110.271140000000000,25.532741999999999,畲族
397,桂林市灵川县三街镇溶流上村,110.440423999999990,25.514938999999998,110.429130000000000,25.511751000000000,
398,桂林市平乐县沙子镇沙子村,110.703930000000000,24.778973000000001,110.692697000000000,24.776254000000002,苗族|彝族
399,桂林市兴安县白石乡水源头村,110.737142000000010,25.442501000000000,110.725885000000010,25.439380000000000,
